spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,
2CspwnypzT7rcWI9RfsoSb,Mantra,JENNIE,8,0,-2,Singapore,2024-11-19,89,True,136627,Mantra,2024-10-10,0.894,0.725,10,-4.984,0,0.0432,0.00434,0.0000115,0.0815,0.838,116.988,4,
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,9,0,0,Singapore,2024-11-19,93,False,211978,Sailor Song,2024-07-26,0.494,0.413,11,-10.432,1,0.0254,0.682,0.0000672,0.193,0.273,94.938,4,
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,10,0,-3,Singapore,2024-11-19,94,False,157279,Short n' Sweet,2024-08-23,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4,
5GdAGqF9ZI4gADtpVAxqe7,Lost and found,"Molly Sandén, Victor Leksell",1,0,0,Sweden,2024-11-19,70,False,194785,Lost and found,2024-09-20,0.795,0.191,3,-10.622,1,0.0409,0.757,0,0.0973,0.145,112.074,4,
0j2JcSeuF8ElJTrC8g6493,Djurens vaggvisa,"Humlan Djojj, Josefine Götestam",2,2,1,Sweden,2024-11-19,70,False,140046,Somna med Humlan Djojj,2020-10-30,0.684,0.0326,0,-17.898,1,0.0583,0.973,0.000002,0.108,0.44,66.685,5,
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,3,-1,1,Sweden,2024-11-19,93,True,166300,The Secret of Us (Deluxe),2024-10-18,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4,
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,4,3,2,Sweden,2024-11-19,93,False,211978,Sailor Song,2024-07-26,0.494,0.413,11,-10.432,1,0.0254,0.682,0.0000672,0.193,0.273,94.938,4,
1nPjwnKrO6imcSiaXNu8CX,Cecilia Lind,Yasin,5,-2,-3,Sweden,2024-11-19,69,True,101631,Cecilia Lind,2024-10-11,0.714,0.644,8,-6.212,0,0.29,0.0833,0.00000605,0.146,0.656,132.285,5,
3GygspQIcYy5OnRiw245Qh,Babblarnas vaggvisa,Babblarna,6,7,3,Sweden,2024-11-19,62,False,334053,Upp och ner och hit och dit med Babblarna,2023-09-01,0.299,0.234,11,-13.009,1,0.0321,0.828,0.000101,0.0959,0.333,186.369,4,
0Pii5EXqXhPOTcX86zDxaW,Ole Dole Doff,"Asme, Shiro",7,-1,-2,Sweden,2024-11-19,68,True,143566,Ole Dole Doff,2024-10-11,0.546,0.535,5,-7.086,0,0.261,0.747,0,0.285,0.22,83.701,4,
2YYsb4d39JKLpQgTMpXOQ0,Regnblöta skor,Miriam Bryant,8,-3,-1,Sweden,2024-11-19,67,False,150733,Regnblöta skor,2024-08-09,0.642,0.433,3,-8.184,1,0.0394,0.821,0.00000567,0.341,0.164,98.121,4,
4PLmun9Ww06dbdhCh0RtBd,Santa Catalina,Jireel,9,28,41,Sweden,2024-11-19,47,True,182970,YEMAYA,2024-11-15,0.602,0.769,4,-7.559,0,0.098,0.267,0.000036,0.117,0.0468,101.111,4,
